id,lat,lon
GV1312,41.28457,-8.28655
GV1313,41.28457,-8.28649
GV1314,41.28455,-8.28643
GV1315,41.28456,-8.28637
GV1316,41.2845,-8.28665
GV1317,41.28464,-8.28829
GV1318,41.28462,-8.28812
GV1319,41.28444,-8.2878
GV1320,41.28446,-8.28844
GV1321,41.28444,-8.28836
GV1322,41.28443,-8.28839
GV1323,41.28453,-8.28823
GV1324,41.28445,-8.2881
GV1325,41.28436,-8.2881
GV1326,41.28436,-8.28794
GV1327,41.28434,-8.2877
GV1328,41.28443,-8.28759
GV1329,41.28443,-8.28745
GV1330,41.28257,-8.28495
GV1331,41.28193,-8.28402
GV1332,41.28188,-8.28399
GV1333,41.28181,-8.28395
GV1334,41.28176,-8.28392
GV1335,41.28171,-8.28389
GV1336,41.28167,-8.28387
GV1337,41.28157,-8.28382
GV1338,41.2814,-8.28366
GV1339,41.28135,-8.28362
GV1340,41.28127,-8.28351
GV1341,41.28107,-8.28344
GV1342,41.28284,-8.28538
GV1343,41.32541,-8.29564
GV1344,41.32696,-8.29527
GV1345,41.32695,-8.29506
GV1346,41.3272,-8.2951
GV1347,41.32715,-8.29569
GV1348,41.32736,-8.29589
GV1349,41.32774,-8.29607
GV1350,41.32788,-8.29629
GV1351,41.32791,-8.29632
GV1352,41.32826,-8.29608
GV1353,41.32807,-8.29588
GV1354,41.32828,-8.29567
GV1355,41.32823,-8.29542
GV1356,41.32727,-8.29474
GV1357,41.32711,-8.29478
GV1358,41.32705,-8.2948
GV1359,41.32735,-8.29443
GV1360,41.32746,-8.29459
GV1361,41.32747,-8.29418
GV1362,41.32869,-8.29543
GV1363,41.31787,-8.28852
GV1364,41.3183,-8.28843
GV1365,41.31787,-8.2878
GV1366,41.31792,-8.28788
GV1367,41.31796,-8.28794
GV1368,41.31805,-8.28772
GV1369,41.31817,-8.28772
GV1370,41.31818,-8.28793
GV1371,41.31853,-8.28682
GV1372,41.31848,-8.28668
GV1373,41.31844,-8.28695
GV1374,41.3184,-8.28696
GV1375,41.31829,-8.28694
GV1376,41.31831,-8.28707
GV1377,41.31829,-8.28716
GV1378,41.3181,-8.28746
GV1379,41.31808,-8.28728
GV1380,41.31801,-8.2873
GV1381,41.27595,-8.23751
GV1382,41.27617,-8.23739
GV1383,41.276,-8.23723
GV1384,41.27621,-8.23617
GV1385,41.2762,-8.23623
GV1386,41.27618,-8.23629
GV1387,41.27616,-8.23635
GV1388,41.27622,-8.23709
GV1389,41.27572,-8.23761
GV1390,41.27558,-8.23755
GV1391,41.27508,-8.2376
GV1392,41.27486,-8.2378
GV1393,41.27472,-8.23792
GV1394,41.27042,-8.23947
GV1395,41.27058,-8.24095
GV1396,41.2709,-8.2405
GV1397,41.27097,-8.24045
GV1398,41.27109,-8.24027
GV1399,41.27113,-8.24023
GV1400,41.27125,-8.24
GV1401,41.27095,-8.23979
GV1402,41.27088,-8.23983
GV1403,41.27077,-8.23991
GV1404,41.27084,-8.23877
GV1405,41.27055,-8.23866
GV1406,41.27101,-8.23868
GV1407,41.2709,-8.2386
GV1408,41.27095,-8.23831
GV1409,41.27078,-8.238
GV1410,41.27077,-8.23793
GV1411,41.27064,-8.23783
GV1412,41.27306,-8.23586
GV1413,41.27477,-8.23491
GV1414,41.2746,-8.2346
GV1415,41.27453,-8.23442
GV1416,41.27447,-8.23431
GV1417,41.27444,-8.23424
GV1418,41.27439,-8.23417
GV1419,41.27436,-8.2341
GV1420,41.27432,-8.23402
GV1421,41.27429,-8.23393
GV1422,41.27428,-8.23385
GV1423,41.27421,-8.23375
GV1424,41.27415,-8.2337
GV1425,41.27291,-8.23628
GV1426,41.27301,-8.23685
GV1427,41.27382,-8.23792
GV1428,41.27395,-8.23796
GV1429,41.2748,-8.23648
GV1430,41.27424,-8.23606
GV1431,41.27408,-8.23598
GV1432,41.27352,-8.23583
GV1433,41.27338,-8.23586
GV1434,41.27333,-8.23582
GV1435,41.27326,-8.23584
GV1436,41.27313,-8.23584
GV1437,41.27387,-8.23621
GV1438,41.27318,-8.24246
GV1439,41.273,-8.24261
GV1440,41.27278,-8.24284
GV1441,41.27269,-8.24293
GV1442,41.27264,-8.24309
GV1443,41.27259,-8.24321
GV1474,41.32404,-8.30767
GV1475,41.32268,-8.31487
GV1476,41.32271,-8.31535
GV1477,41.32272,-8.31526
GV1478,41.32263,-8.31605
GV1479,41.32263,-8.31629
GV1480,41.32117,-8.31559
GV1481,41.32151,-8.3156
GV1482,41.3199,-8.31576
GV1483,41.31793,-8.31528
GV1484,41.31609,-8.31378
